year,adjectives
1970,[]
1970,[unhappilly]]
1970,[]
1970,[]
1970,"[famous], young]]"
1970,[shy]
1970,[]
1970,[]
1970,[]
1970,[general]]
1970,[cruel]]
1970,[cruel]]
1970,[interested]]
1970,[]
1970,[]
1970,[subordinate]]
1970,[]
1970,[]
1970,[young]]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[wealthy]]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[local]]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[rich]]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[young]]
1970,[handsome]]
1970,[Catholic]]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[peaceful]]
1970,"[quiet, poor]]"
1970,[young]]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[wealthy]]
1970,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[fresh]]
1971,[]
1971,[]
1971,[sympathetic]]
1971,[]
1971,[]
1971,[mistake]]
1971,[]
1971,[]
1971,[biological]]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[elderly]]
1971,[]
1971,[]
1971,[wrong]]
1971,[caravan]]
1971,[]
1971,[]
1971,[]
1971,[impertinent]]
1971,[]
1971,[blind]]
1971,[little]]
1971,[old]
1971,[]
1971,[]
1971,[]
1971,[dacoit]]
1971,[married]
1971,[horrified]]
1971,[]
1971,[crippled]]
1971,[]
1971,[honourable]]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[local]]
1971,[assistant]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[villainous]]
1971,[]
1971,[]
1971,[]
1971,[local]]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[abstemious]]
1971,[uneducated]]
1971,[funny]
1971,[ignorant]]
1971,[]
1971,[comic]]
1971,[]
1971,[]
1971,[young]]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[]
1971,[proud]]
1971,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[young]]
1973,[]
1973,[late]]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,"[young], long]]"
1973,[real]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,"[innocent], dead]]"
1973,[cruel]
1973,[biological]]
1973,[frantic]]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[young]]
1973,[]
1973,[distant]]
1973,[]
1973,[young]]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[daughterto]]
1973,[seasonal]]
1973,[]
1973,[]
1973,"[honest, rich]]"
1973,[wealthy]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[]
1973,[local]]
1973,[]
1974,[]
1974,[]
1974,[]
1974,[gorgeous]]
1974,[]
1974,[]
1974,[broken]]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[illegitimate]]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[snobby]]
1974,[ashamed]]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[born]]
1974,[]
1974,[free]]
1974,[]
1974,[]
1974,[homeless]]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[]
1974,[wealthy]]
1975,[]
1975,[]
1975,[]
1975,[honest]]
1975,[young]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[old]]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[brutally]]
1975,[]
1975,[]
1975,[furious]]
1975,[vengeful]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[young]]
1975,[]
1975,[]
1975,[]
1975,[dead]]
1975,[]
1975,[]
1975,[little]]
1975,[]
1975,[]
1975,[old]]
1975,[wealthy]
1975,[]
1975,[wealthy]]
1975,[new]]
1975,[]
1975,[powerful]]
1975,[shy]]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[widowed]]
1975,[]
1975,[]
1975,[jovial]]
1975,[retired]]
1975,[]
1975,[]
1975,[]
1975,[young]]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[young]]
1975,[young]]
1975,[intimate]]
1975,[]
1975,[]
1975,[]
1975,[]
1975,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[greedy]]
1976,"[dangerous], spoiled]]"
1976,[rich]
1976,[]
1976,[]
1976,[]
1976,[true]]
1976,[]
1976,[]
1976,[rich]]
1976,[]
1976,[old]]
1976,[poor]]
1976,[]
1976,[]
1976,[young]]
1976,[]
1976,[little]]
1976,[]
1976,[young]]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[young]]
1976,[ferocious]]
1976,[]
1976,"[honest, rich]]"
1976,[corrupt]
1976,[]
1976,[furious]]
1976,[cunning]]
1976,[]
1976,[]
1976,[vengeful]]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[]
1976,[powerful]]
1976,[shy]]
1976,[]
1976,[]
1976,[]
1976,[generous]]
1976,[]
1976,[]
1976,[second]]
1977,[unmarried]
1977,[]
1977,[]
1977,[]
1977,[criminal]]
1977,[young]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[spoilt]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[enraged]]
1977,[]
1977,[]
1977,[abusive]]
1977,[]
1977,[adoptive]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[biological]]
1977,[wealthy]
1977,[elderly]]
1977,[]
1977,[]
1977,[young]]
1977,[]
1977,[]
1977,[escaped]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[unattractive]]
1977,[]
1977,[opposite]]
1977,[nihilistic]]
1977,[]
1977,[]
1977,[successful]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[healthy]]
1977,[]
1977,[]
1977,[wealthy]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[rich]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[wealthy]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[crippled]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[real]]
1977,[]
1977,[]
1977,[rich]]
1977,[]
1977,[]
1977,[]
1977,[honest]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[dutiful]]
1977,"[real, shepherd]]"
1977,[old]
1977,[real]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[poor]]
1977,[]
1977,[young]]
1977,[]
1977,[]
1977,[]
1977,[]
1977,[rich]]
1977,[stubborn]
1977,"[poor, empathetic]]"
