year,verbs
1970,[convinces]]
1970,[]
1970,[lives]]
1970,[lives]]
1970,[]
1970,"[proposes, loves]]"
1970,[offers]
1970,[]
1970,[gets]]
1970,[]
1970,[]
1970,"[proposes, survives, appears]]"
1970,[leaves]
1970,"[comes, informs]]"
1970,[plans]
1970,[]
1970,[nets]]
1970,[thinks]]
1970,[]
1970,"[loses, wants]]"
1970,"[challenges, knows]]"
1970,[challenges]
1970,[gives]]
1970,[falls]]
1970,"[introduces, gets]]"
1970,[asks]
1970,[heads]]
1970,[lives]
1970,[molests]]
1970,"[accuses, sends]]"
1970,[realizes]
1970,"[discovers], rescues, takes, starts, keeps]]"
1970,"[searches, gets]]"
1970,[puts]
1970,"[falls], falls]]"
1970,[tries]
1970,[]
1970,[steps]]
1970,[believes]]
1970,[dies]]
1970,[wants]
1970,[]
1970,[]
1970,[]
1970,[learns]]
1970,[suggests]
1970,[]
1970,"[loves, wants, refuses]]"
1970,[grows]
1970,"[brings], decides]]"
1970,[finds]
1970,[draws]]
1970,"[ends], decides]]"
1970,[meets]
1970,[sends]]
1970,[makes]
1970,[rents]]
1970,[]
1970,[]
1970,[]
1970,[]
1970,[]
1970,"[comes], pacifies]]"
1970,[confronts]
1970,"[sings], redirects]]"
1970,"[meets, meets]]"
1970,"[grows, asks]]"
1970,[meets]
1970,"[meets, sees, exposes, decides, comes, threatens, proves]]"
1970,[tells]
1970,"[leaves], resists]]"
1970,[introduces]
1970,[]
1970,[consults]]
1970,"[informs], brings, slips, goes, stops]]"
1971,"[meets, comes, sends]]"
1971,[records]
1971,[kidnaps]]
1971,"[introduces, helps, soothes]]"
1971,[tells]
1971,[]
1971,[introduces]]
1971,[]
1971,[]
1971,[]
1971,[asks]]
1971,"[leaves, tries, confronts, leaves, sees]]"
1971,[tells]
1971,[shoots]]
1971,[finds]
1971,"[shoots], loves, wants]]"
1971,"[lives, sets]]"
1971,[grows]
1971,[gets]]
1971,[takes]]
1971,[]
1971,[]
1971,[loves]]
1971,[meets]
1971,[happens]]
1971,"[slips], thinks, gets]]"
1971,"[loves, announces, loves, comes, probes, starts, gets]]"
1971,[tells]
1971,[gets]]
1971,"[rebukes], extracts]]"
1971,"[spoils, stays, spoils, comes, frightens]]"
1971,[grows]
1971,[]
1971,[marries]]
1971,[bears]]
1971,"[dies], hears]]"
1971,"[brings, acknowledges, attempts]]"
1971,[stages]
1971,[smiles]]
1971,[]
1971,[earns]]
1971,[]
1971,['s]]
1971,[]
1971,[finds]]
1971,[lives]]
1971,[]
1971,[kills]]
1971,"[reaches], buys, follows, rushes, returns, runs]]"
1971,[visits]
1971,[]
1971,"[identifies], hires, goes]]"
1971,[puts]
1971,"[lives], discusses]]"
1971,[proposes]
1971,[]
1971,"[decides], chooses]]"
1971,[tells]
1971,[makes]]
1971,[tries]]
1971,"[overhears], tells, tries, decides, lands]]"
1971,[observes]
1971,[tells]]
1971,[]
1971,"[sees, asks]]"
1971,[tells]
1971,[]
1971,[returns]]
1971,[]
1971,[leaves]]
1971,[]
1971,[]
1971,[leads]]
1971,[]
1971,[]
1971,[urges]]
1971,"[stops, comes, emerges, wishes, happens]]"
1971,[works]
1971,[]
1971,[]
1971,[appoints]]
1971,[arranges]]
1971,"[finds, plans, promises, plots]]"
1971,[realises]
1971,"[meets, asks]]"
1971,"[tries, feels, asks, comes, deicdes]]"
1971,[considers]
1971,[]
1971,[marries]]
